modification,reaction_id,reaction_name,old_reaction_equation,new_reaction_equation,mass_and_charge_balance_new,GPR,old_gpr,subsystem,confidence_level,TIC_association,is_blocked,isomer_group,iAT601_RAT_note,reaction_update_notes,metabolite_update_notes,lower_bound,upper_bound,literature_references,curation_notes,DB_links
,BC17FAS,Branched chain C17 fatty acid synthesis,3mbACP_c + 17.0 h_c + 6.0 malACP_c + 12.0 nadph_c <=> 7.0 ACP_c + branch_c17_fa_c + 6.0 co2_c + 5.0 h2o_c + 12.0 nadp_c,3mbACP_c + 17.0 h_c + 6.0 malACP_c + 12.0 nadph_c <=> 7.0 ACP_c + branch_c17_fa_c + 6.0 co2_c + 5.0 h2o_c + 12.0 nadp_c,{},,,Fatty acid synthesis,2,,,,['Biomass precursor synthesis'],"produces pseudometablite, can pathway be extended? Fatty acid synthesis","['MET_ID:ACP_c, NOTE: generic:acp', 'MET_ID:malACP_c, NOTE: generic:acp', 'MET_ID:3mbACP_c, NOTE: generic:acp', 'MET_ID:branch_c17_fa_c, NOTE: generic:biomass']",-1000,1000,,,{'EC NUMBER': ['2.3.1.41']}
,PROTEIN_TERM,Lumped Protein Term,0.4882 ala__L_c + 0.3342 arg__L_c + 0.4129 asn__L_c + 0.4358 asp__L_c + 43.78 atp_c + 0.0897 cys__L_c + 0.1966 gln__L_c + 0.5832 glu__L_c + 0.5114 gly_c + 43.78 h2o_c + 0.1094 his__L_c + 0.6494 ile__L_c + 0.6624 leu__L_c + 0.6196 lys__L_c + 0.1921 met__L_c + 0.3244 phe__L_c + 0.2595 pro__L_c + 0.4626 ser__L_c + 0.386 thr__L_c + 0.0678 trp__L_c + 0.3235 tyr__L_c + 0.5444 val__L_c --> 43.78 adp_c + 43.78 pi_c + protein_term_c,0.4882 ala__L_c + 0.3342 arg__L_c + 0.4129 asn__L_c + 0.4358 asp__L_c + 43.78 atp_c + 0.0897 cys__L_c + 0.1966 gln__L_c + 0.5832 glu__L_c + 0.5114 gly_c + 43.78 h2o_c + 0.1094 his__L_c + 0.6494 ile__L_c + 0.6624 leu__L_c + 0.6196 lys__L_c + 0.1921 met__L_c + 0.3244 phe__L_c + 0.2595 pro__L_c + 0.4626 ser__L_c + 0.386 thr__L_c + 0.0678 trp__L_c + 0.3235 tyr__L_c + 0.5444 val__L_c --> 43.78 adp_c + 43.78 pi_c + protein_term_c,{},,,Pseudoreaction,2,,,"['atp_c', 'dgtp_c']",['Biomass precursor synthesis'],pseudoreaction,"['MET_ID:protein_term_c, NOTE: pseudometabolite']",0,1000,,,{}
,DNA_TERM,Lumped DNA Term,2.822 atp_c + 0.668 datp_c + 0.368 dctp_c + 0.368 dgtp_c + 0.668 dttp_c + 2.822 h2o_c --> 2.822 adp_c + dna_term_c + 2.822 pi_c + 2.072 ppi_c,2.822 atp_c + 0.668 datp_c + 0.368 dctp_c + 0.368 dgtp_c + 0.668 dttp_c + 2.822000000000007 h2o_c --> 2.822 adp_c + dna_term_c + 2.822 pi_c + 2.072 ppi_c,{},,,Pseudoreaction,2,,,"['atp_c', 'dgtp_c']",['Biomass precursor synthesis'],pseudoreaction,"['MET_ID:dna_term_c, NOTE: pseudometabolite']",0,1000,,,{}
,RNA_TERM,Lumped RNA Term,7.5379 atp_c + 0.3954 ctp_c + 0.3932 gtp_c + 6.9218 h2o_c + 0.6181 utp_c --> 6.9218 adp_c + 6.9218 pi_c + 2.0228 ppi_c + rna_term_c,7.5379 atp_c + 0.3954 ctp_c + 0.3932 gtp_c + 6.9218 h2o_c + 0.6181 utp_c --> 6.9218 adp_c + 6.9218 pi_c + 2.0228 ppi_c + rna_term_c,{},,,Pseudoreaction,2,,,"['atp_c', 'dgtp_c']",['Biomass precursor synthesis'],pseudoreaction,"['MET_ID:rna_term_c, NOTE: pseudometabolite']",0,1000,,,{}
,MAGS,Monoacyl Glyceride synthesis,0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + glyc3p_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 1ag3p_gen_c + 0.844 ACP_c,0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + glyc3p_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 1ag3p_gen_c + 0.844 ACP_c + 8.881784197001252e-16 h2o_c,{},,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],"Consumes pseudometabolite, Lipid synthesis","['MET_ID:ACP_c, NOTE: generic:acp', 'MET_ID:1ag3p_gen_c, NOTE: generic:biomass', 'MET_ID:ocdACP_c, NOTE: generic:acp', 'MET_ID:deceACP_c, NOTE: generic:acp', 'MET_ID:tdeceACP_c, NOTE: generic:acp', 'MET_ID:tpalm2eACP_c, NOTE: generic:acp', 'MET_ID:hexdACP_c, NOTE: generic:acp', 'MET_ID:branch_c13_fa_c, NOTE: generic:biomass', 'MET_ID:branch_c17_fa_c, NOTE: generic:biomass']",-1000,1000,,,{'EC NUMBER': ['2.3.1.15']}
,DAGS,Diacyl Glyceride synthesis,1ag3p_gen_c + 0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 0.844 ACP_c + pa_gen_c,1ag3p_gen_c + 0.022 branch_c13_fa_c + 0.133 branch_c17_fa_c + 0.051 deceACP_c + 0.552 hexdACP_c + 0.062 ocdACP_c + 0.054 tdeceACP_c + 0.125 tpalm2eACP_c <=> 0.844 ACP_c + 1.3322676295501878e-15 h2o_c + pa_gen_c,{},,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],"Consumes pseudometabolite, Lipid synthesis","['MET_ID:ACP_c, NOTE: generic:acp', 'MET_ID:1ag3p_gen_c, NOTE: generic:biomass', 'MET_ID:ocdACP_c, NOTE: generic:acp', 'MET_ID:deceACP_c, NOTE: generic:acp', 'MET_ID:tdeceACP_c, NOTE: generic:acp', 'MET_ID:tpalm2eACP_c, NOTE: generic:acp', 'MET_ID:hexdACP_c, NOTE: generic:acp', 'MET_ID:branch_c13_fa_c, NOTE: generic:biomass', 'MET_ID:branch_c17_fa_c, NOTE: generic:biomass', 'MET_ID:pa_gen_c, NOTE: generic:biomass']",-1000,1000,,,{'EC NUMBER': ['2.3.1.15']}
,DAGK,DAG Kinase,atp_c + dag_gen_c --> adp_c + h_c + pa_gen_c,atp_c + dag_gen_c --> adp_c + h_c + pa_gen_c,{},,,Lipid synthesis,2,,TRUE,"['atp_c', 'dgtp_c']",['Biomass precursor synthesis'],"DAG in ""generic form"", Lipid synthesis","['MET_ID:dag_gen_c, NOTE: generic', 'MET_ID:pa_gen_c, NOTE: generic:biomass']",0,1000,,,{'EC NUMBER': ['2.7.1.107']}
,DAGP,DAGP Phosphatase,h2o_c + pa_gen_c --> dag_gen_c + pi_c,h2o_c + pa_gen_c --> dag_gen_c + pi_c,{},,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],"Also Phosphatidate phosphatase, again DAG in generic form Lipid synthesis","['MET_ID:dag_gen_c, NOTE: generic', 'MET_ID:pa_gen_c, NOTE: generic:biomass']",0,1000,,,{'EC NUMBER': ['3.1.3.4']}
,CDGS,CDP-Diacylglycerol Synthase,ctp_c + h_c + pa_gen_c --> cdpdag_gen_c + ppi_c,ctp_c + h_c + pa_gen_c --> cdpdag_gen_c + ppi_c,{},,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],Uses generic compounds. Lipid synthesis,"['MET_ID:pa_gen_c, NOTE: generic:biomass']",0,1000,,,{'EC NUMBER': ['2.7.7.41']}
,GDAGS,Glucosyl DAG synthesis,dag_gen_c + 2.0 udpg_c <=> dg12dg_c + 2.0 h_c + 2.0 udp_c,dag_gen_c + 2.0 udpg_c <=> dg12dg_c + 2.0 h_c + 2.0 udp_c,{},,,Lipid synthesis,2,,,"['udp_c', 'DUPLICATE_udp_c']",['Biomass precursor synthesis'],Uses generic compounds. Lipid synthesis,"['MET_ID:dag_gen_c, NOTE: generic', 'MET_ID:dg12dg_c, NOTE: generic:biomass']",-1000,1000,,,{}
,GDAGS2,Glucosyl DAG synthesis,dag_gen_c + 3.0 udpg_c <=> 3.0 h_c + tg12dg_c + 3.0 udp_c,dag_gen_c + 3.0 udpg_c <=> 3.0 h_c + tg12dg_c + 3.0 udp_c,{},,,Lipid synthesis,2,,,"['udp_c', 'DUPLICATE_udp_c']",['Biomass precursor synthesis'],Uses generic compounds. Lipid synthesis,"['MET_ID:dag_gen_c, NOTE: generic', 'MET_ID:tg12dg_c, NOTE: generic:biomass']",-1000,1000,,,{}
,PGLP,Phosphatidylglycerophosphatase,h2o_c + pgp_gen_c --> pglyc_gen_c + pi_c,h2o_c + pgp_gen_c --> pglyc_gen_c + pi_c,{},,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],Uses generic compounds. Lipid synthesis,"['MET_ID:pgp_gen_c, NOTE: generic:biomass']",0,1000,,,{'EC NUMBER': ['3.1.3.27']}
,PGLS,Phosphatidylglycerol Synthesis,atp_c + lys__L_c + pglyc_gen_c --> amp_c + h_c + lysphg_c + ppi_c,atp_c + lys__L_c + pglyc_gen_c --> amp_c + h_c + lysphg_c + ppi_c,{},,,Lipid synthesis,2,,,"['atp_c', 'dgtp_c']",['Biomass precursor synthesis'],Uses generic compounds. Lipid synthesis,"['MET_ID:lysphg_c, NOTE: generic:biomass']",0,1000,,,{}
,CDGSOT,CDP-diacylglycerol-serine O-phosphatidyltransferase,cdpdag_gen_c + ser__L_c <=> cmp_c + h_c + phtdylser_gen_c,cdpdag_gen_c + ser__L_c <=> cmp_c + h_c + phtdylser_gen_c,{},,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],Uses generic compounds. Lipid synthesis,"['MET_ID:phtdylser_gen_c, NOTE: generic:biomass']",-1000,1000,,,{'EC NUMBER': ['2.7.8.8']}
,PHSD,Phosphatidylserine decarboxylase,phtdylser_gen_c --> co2_c + pe_gen_c,phtdylser_gen_c --> co2_c + pe_gen_c,{},,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],Uses generic compounds. Lipid synthesis,"['MET_ID:pe_gen_c, NOTE: generic:biomass', 'MET_ID:phtdylser_gen_c, NOTE: generic:biomass']",0,1000,,,{}
,LP_TERM,Lipid synthesis,0.1127 3g12dgr_gen_c + 0.006 clpn_gen_c + 0.1453 dg12dg_c + 0.0286 lysphg_c + 0.7398 pe_gen_c + 0.2325 pglyc_gen_c + 0.0873 tg12dg_c --> lipid_term_c,0.1127 3g12dgr_gen_c + 0.006 clpn_gen_c + 0.1453 dg12dg_c + 0.0286 lysphg_c + 0.7398 pe_gen_c + 0.2325 pglyc_gen_c + 0.0873 tg12dg_c --> 6.661338147750939e-16 h2o_c + lipid_term_c,{},,,Pseudoreaction,2,,,,['Biomass precursor synthesis'],pseudometabolite,"['MET_ID:3g12dgr_gen_c, NOTE: generic:biomass', 'MET_ID:clpn_gen_c, NOTE: generic', 'MET_ID:pe_gen_c, NOTE: generic:biomass', 'MET_ID:dg12dg_c, NOTE: generic:biomass', 'MET_ID:tg12dg_c, NOTE: generic:biomass', 'MET_ID:lysphg_c, NOTE: generic:biomass', 'MET_ID:lipid_term_c, NOTE: pseudometabolite']",0,1000,,,{}
,G3PCT,Glycerol-3-phosphate cytidylyltransferase,ctp_c + glyc3p_c + h_c --> cdpglyc_c + ppi_c,ctp_c + glyc3p_c + h_c --> cdpglyc_c + ppi_c,{},,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],Uses generic compounds.,,0,1000,,,{'EC NUMBER': ['2.7.7.39']}
,GLAS,Glucosyl-lipoteichoic acid synthesis,24.0 cdpglyc_c + dg12dg_c + 24.0 udpg_c --> 24.0 cmp_c + glu_lta_c + 48.0 h_c + 24.0 udp_c,24.0 cdpglyc_c + dg12dg_c + 24.0 udpg_c --> 24.0 cmp_c + glu_lta_c + 48.0 h_c + 24.0 udp_c,{},CLO1313_RS10430 or CLO1313_RS10995,,Lipid synthesis,2,,,"['udp_c', 'DUPLICATE_udp_c']",['Biomass precursor synthesis'],Uses generic compounds.,"['MET_ID:dg12dg_c, NOTE: generic:biomass', 'MET_ID:glu_lta_c, NOTE: generic:biomass']",0,1000,,,{}
,GALAS,Glucosamino-lipoteichoic acid synthesis,24.0 cdpglyc_c + dg12dg_c + 24.0 uacgam_c --> aglu_lta_c + 24.0 cmp_c + 48.0 h_c + 24.0 udp_c,24.0 cdpglyc_c + dg12dg_c + 24.0 uacgam_c --> aglu_lta_c + 24.0 cmp_c + 48.0 h_c + 24.0 udp_c,{},CLO1313_RS10430 or CLO1313_RS10995,,Lipid synthesis,2,,,"['udp_c', 'DUPLICATE_udp_c']",['Biomass precursor synthesis'],Uses generic compounds.,"['MET_ID:dg12dg_c, NOTE: generic:biomass', 'MET_ID:aglu_lta_c, NOTE: generic:biomass']",0,1000,,,{}
,ALLAS,Alanyl-lipoteichoic acid synthesis,24.0 ala__D_c + 24.0 atp_c + 24.0 cdpglyc_c + dg12dg_c + 24.0 h2o_c --> ala_lta_c + 24.0 amp_c + 24.0 cmp_c + 48.0 h_c + 24.0 ppi_c,24.0 ala__D_c + 24.0 atp_c + 24.0 cdpglyc_c + dg12dg_c + 24.0 h2o_c --> ala_lta_c + 24.0 amp_c + 24.0 cmp_c + 48.0 h_c + 24.0 ppi_c,{},CLO1313_RS10430 or CLO1313_RS10995,,Lipid synthesis,2,,,"['atp_c', 'dgtp_c']",['Biomass precursor synthesis'],Uses generic compounds.,"['MET_ID:dg12dg_c, NOTE: generic:biomass', 'MET_ID:ala_lta_c, NOTE: generic:biomass']",0,1000,,,{}
,LAS,Lipoteichoic acid synthesis,24.0 cdpglyc_c + dg12dg_c --> 24.0 cmp_c + 24.0 h_c + lta_c,24.0 cdpglyc_c + dg12dg_c --> 24.0 cmp_c + 24.0 h_c + lta_c,{},CLO1313_RS10430 or CLO1313_RS10995,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],Uses generic compounds.,"['MET_ID:dg12dg_c, NOTE: generic:biomass', 'MET_ID:lta_c, NOTE: generic:biomass']",0,1000,,,{}
,PDGS,Peptidoglycan synthesis,uaagmda_c --> dtpcudcpp_c + h_c + pd_sub_c,uaagmda_c --> dtpcudcpp_c + h_c + pd_sub_c,{},,,Lipid synthesis,2,,,,['Biomass precursor synthesis'],Uses generic compounds.,"['MET_ID:pd_sub_c, NOTE: generic:biomass']",0,1000,,,{}
,GLYTAS,Glycerol Teichoic Acid Synthesis,45.0 cdpglyc_c + uacgam_c + uacmam_c --> cmp_c + gly_tea_c + h_c + udp_c + ump_c,45.0 cdpglyc_c + uacgam_c + uacmam_c --> cmp_c + gly_tea_c + h_c + udp_c + ump_c,{},,,Lipid synthesis,2,,,"['udp_c', 'DUPLICATE_udp_c']",['Biomass precursor synthesis'],Uses generic compounds.,"['MET_ID:gly_tea_c, NOTE: generic:biomass']",0,1000,,,{}
,ATAS,Alanyl Teichoic Acid Synthesis,45.0 ala__D_c + 45.0 atp_c + 45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c --> agly_tea_c + 45.0 amp_c + 45.0 cmp_c + 90.0 h_c + 45.0 ppi_c + udp_c + ump_c,45.0 ala__D_c + 45.0 atp_c + 45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c --> agly_tea_c + 45.0 amp_c + 45.0 cmp_c + 90.0 h_c + 45.0 ppi_c + udp_c + ump_c,{},,,Lipid synthesis,2,,,"['atp_c', 'dgtp_c']",['Biomass precursor synthesis'],Uses generic compounds.,"['MET_ID:agly_tea_c, NOTE: generic:biomass']",0,1000,,,{}
,GLUTAS,Glucosyl Teichoic Acid Synthesis,45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c + 45.0 udpg_c --> 45.0 cmp_c + glygly_tea_c + 90.0 h_c + udp_c + ump_c,45.0 cdpglyc_c + 45.0 h2o_c + uacgam_c + uacmam_c + 45.0 udpg_c --> 45.0 cmp_c + glygly_tea_c + 90.0 h_c + udp_c + ump_c,{},,,Lipid synthesis,2,,,"['udp_c', 'DUPLICATE_udp_c']",['Biomass precursor synthesis'],Uses generic compounds.,"['MET_ID:glygly_tea_c, NOTE: generic:biomass']",0,1000,,,{}
,MTAS,Minor Teichoic Acid Synthesis,30.0 h2o_c + 30.0 udpacgal_c + 30.0 udpg_c --> 60.0 h_c + min_tea_c + 30.0 udp_c + 30.0 ump_c,30.0 h2o_c + 30.0 udpacgal_c + 30.0 udpg_c --> 60.0 h_c + min_tea_c + 30.0 udp_c + 30.0 ump_c,{},,,Lipid synthesis,2,,,"['udp_c', 'DUPLICATE_udp_c']",['Biomass precursor synthesis'],Uses generic compounds.,"['MET_ID:min_tea_c, NOTE: generic:biomass']",0,1000,,,{}
,CW_TERM,Lumped Cell Wall Term,0.0105 agly_tea_c + 0.0161 gly_tea_c + 0.0081 glygly_tea_c + 0.0139 min_tea_c + 0.4541 pd_sub_c --> cellwall_term_c,0.0105 agly_tea_c + 0.0161 gly_tea_c + 0.0081 glygly_tea_c + 0.0139 min_tea_c + 0.4541 pd_sub_c --> cellwall_term_c + 1.7763568394002505e-15 h2o_c,{},,,Pseudoreaction,2,,,,['Biomass precursor synthesis'],pseudoreaction,"['MET_ID:pd_sub_c, NOTE: generic:biomass', 'MET_ID:gly_tea_c, NOTE: generic:biomass', 'MET_ID:agly_tea_c, NOTE: generic:biomass', 'MET_ID:glygly_tea_c, NOTE: generic:biomass', 'MET_ID:min_tea_c, NOTE: generic:biomass', 'MET_ID:cellwall_term_c, NOTE: pseudometabolite']",0,1000,,,{}
,SOLPOOL_TERM,Lumped Solute Term,0.1485 adp_c + 0.2694 amp_c + 0.1729 atp_c + 0.0998 ca2_c + 0.015 cdp_c + 0.0592 cmp_c + 0.0313 ctp_c + 0.1073 fe3_c + 0.0114 gdp_c + 0.0305 gmp_c + 0.025 gtp_c + 21.995 k_c + 3.1687 mg2_c + 0.9345 nad_c + 0.54 nadp_c + 0.0121 nadph_c + 0.4479 pi_c + 0.0286 ppi_c --> solutepool_term_c,0.1485 adp_c + 0.2694 amp_c + 0.1729 atp_c + 0.0998 ca2_c + 0.015 cdp_c + 0.0592 cmp_c + 0.0313 ctp_c + 0.1073 fe3_c + 0.0114 gdp_c + 0.0305 gmp_c + 0.025 gtp_c + 21.995 k_c + 3.1687 mg2_c + 0.9345 nad_c + 0.54 nadp_c + 0.0121 nadph_c + 0.4479 pi_c + 0.0286 ppi_c --> solutepool_term_c,{},,,Pseudoreaction,2,,,"['atp_c', 'dgtp_c']",['Biomass precursor synthesis'],pseudoreaction,"['MET_ID:solutepool_term_c, NOTE: pseudometabolite']",0,1000,,Why does it have nad but not nadh (It contains both nadph and nadp)?,{}
deletet:correct_bof,DCW_TERM,Dry Cell Weight no GAM,0.02 cellulosome_term_c + 0.2242 cellwall_term_c + 0.026 dna_term_c + 0.076 lipid_term_c + 0.0304 lta_term_c + 0.5285 protein_term_c + 0.0655 rna_term_c + 0.00494 solutepool_term_c --> cdw_term_c,0.02 cellulosome_term_c + 0.2242 cellwall_term_c + 0.026 dna_term_c + 0.076 lipid_term_c + 0.0304 lta_term_c + 0.5285 protein_term_c + 0.0655 rna_term_c + 0.00494 solutepool_term_c --> cdw_term_c,"{'charge': -23.4305629292, 'C': -37.714597602560005, 'H': -94.22449284384, 'N': -8.120930998000002, 'O': -22.09614590783998, 'S': -0.15319929999999998, 'P': -1.1737299259999996, 'Ca': -0.000493012, 'Fe': -0.000530062, 'K': -0.10865530000000001, 'Mg': -0.015653378}",,,Pseudoreaction,2,,,,['Biomass synthesis to probe GAM'],pseudoreaction,"['MET_ID:protein_term_c, NOTE: pseudometabolite', 'MET_ID:dna_term_c, NOTE: pseudometabolite', 'MET_ID:rna_term_c, NOTE: pseudometabolite', 'MET_ID:lipid_term_c, NOTE: pseudometabolite', 'MET_ID:cellwall_term_c, NOTE: pseudometabolite', 'MET_ID:solutepool_term_c, NOTE: pseudometabolite', 'MET_ID:cdw_term_c, NOTE: pseudometabolite', 'MET_ID:lta_term_c, NOTE: pseudometabolite', 'MET_ID:cellulosome_term_c, NOTE: pseudometabolite']",0,1000,,,{}
add:correct_bof,BIOMASS_CELLULOSE,C. therm biomass objective function for cellulose grown cultures (20% DCW corresponds to cellulase),,13.5 atp_c + 13.5 h2o_c + 0.2 cellulosome_term_c +  0.3285 protein_term_c + 0.2242 cellwall_term_c + 0.026 dna_term_c + 0.076 lipid_term_c + 0.0304 lta_term_c  + 0.0655 rna_term_c + 0.0494 solutepool_term_c  => 13.5 adp_c + 13.5 h_c + 13.5 pi_c,{},,,Pseudoreaction,2,,,"['atp_c', 'dgtp_c']",['Biomass synthesis'],pseudoreaction,"['MET_ID:biomass_term_c, NOTE: pseudometabolite', 'MET_ID:cdw_term_c, NOTE: pseudometabolite']",0,1000,,deleted biomass pseudometabolite,{}
add:correct_bof,BIOMASS_CELLOBIOSE,C. therm biomass objective function for cellobiose grown cultures  (2% DCW corresponds to cellulase),,13.5 atp_c + 13.5 h2o_c + 0.02 cellulosome_term_c + 0.5085 protein_term_c + 0.2242 cellwall_term_c + 0.026 dna_term_c + 0.076 lipid_term_c + 0.0304 lta_term_c + 0.0655 rna_term_c + 0.0494 solutepool_term_c  => 13.5 adp_c + 13.5 h_c + 13.5 pi_c,{},,,Pseudoreaction,2,,,"['atp_c', 'dgtp_c']",['Biomass synthesis'],pseudoreaction,"['MET_ID:biomass_term_c, NOTE: pseudometabolite', 'MET_ID:cdw_term_c, NOTE: pseudometabolite']",0,1000,,deleted biomass pseudometabolite,{}
add:correct_bof,BIOMASS_NO_CELLULOSOME,C. therm biomass objective function for cellobiose grown cultures  (2% DCW corresponds to cellulase),,13.5 atp_c + 13.5 h2o_c + 0.5285 protein_term_c + 0.2242 cellwall_term_c + 0.026 dna_term_c + 0.076 lipid_term_c + 0.0304 lta_term_c + 0.0655 rna_term_c + 0.0494 solutepool_term_c  => 13.5 adp_c + 13.5 h_c + 13.5 pi_c,{},,,Pseudoreaction,2,,,"['atp_c', 'dgtp_c']",['Biomass synthesis'],pseudoreaction,"['MET_ID:biomass_term_c, NOTE: pseudometabolite', 'MET_ID:cdw_term_c, NOTE: pseudometabolite']",0,1000,,deleted biomass pseudometabolite,{}
deletet:correct_bof,BIOMASS_TERM,C. therm biomass objective function,13.5 atp_c + cdw_term_c + 13.5 h2o_c --> 13.5 adp_c + biomass_term_c + 13.5 pi_c,13.5 atp_c + cdw_term_c + 13.5 h2o_c --> 13.5 adp_c + 13.5 h_c + 13.5 pi_c,{},,,Pseudoreaction,2,,,"['atp_c', 'dgtp_c']",['Biomass synthesis'],pseudoreaction,"['MET_ID:biomass_term_c, NOTE: pseudometabolite', 'MET_ID:cdw_term_c, NOTE: pseudometabolite']",0,1000,,deleted biomass pseudometabolite,{}
,ATPM,ATP maintenance requirement,atp_c + h2o_c --> adp_c + h_c + pi_c,atp_c + h2o_c --> adp_c + h_c + pi_c,{},,,Pseudoreaction,2,,,"['atp_c', 'dgtp_c']",,pseudoreaction,,3.27,1000,,,{}
,CEPA5,"cellodextrin phosphorylase, cellohexaose cleaving",cell6_c + pi_c --> cell5_c + g1p_c,cell6_c + pi_c --> cell5_c + g1p_c,{},CLO1313_RS09440,Clo1313_1867,Cellulose Metabolism,3,,TRUE,"['f6p_c', 'g6p_c', 'g1p_c', 'man6p_c', 'man1p_c', 'g6p_A_c', 'f1p_c', 'tag6p__D_c', 'g6p_B_c', 'f6p_B_c']","['Reaction included based on Sheth and Alexander 1969, Zhang and Lynd 2005']",review gpr. Cellulose metabolism,,0,1000,,,{'EC NUMBER': ['2.4.1.49']}
,CEPA4,"cellodextrin phosphorylase, cellopentaose cleaving",cell5_c + pi_c --> cell4_c + g1p_c,cell5_c + pi_c --> cell4_c + g1p_c,{},CLO1313_RS09440,Clo1313_1867,Cellulose Metabolism,3,,TRUE,"['f6p_c', 'g6p_c', 'g1p_c', 'man6p_c', 'man1p_c', 'g6p_A_c', 'f1p_c', 'tag6p__D_c', 'g6p_B_c', 'f6p_B_c']","['Reaction included based on Sheth and Alexander 1969, Zhang and Lynd 2005']",review gpr. Cellulose metabolism,,0,1000,,,{'EC NUMBER': ['2.4.1.49']}
,CEPA3,"cellodextrin phosphorylase, cellotetraose cleaving",cell4_c + pi_c --> cell3_c + g1p_c,cell4_c + pi_c --> cell3_c + g1p_c,{},CLO1313_RS09440,Clo1313_1867,Cellulose Metabolism,3,,TRUE,"['f6p_c', 'g6p_c', 'g1p_c', 'man6p_c', 'man1p_c', 'g6p_A_c', 'f1p_c', 'tag6p__D_c', 'g6p_B_c', 'f6p_B_c']","['Reaction included based on Sheth and Alexander 1969, Zhang and Lynd 2005']",review gpr. Cellulose metabolism,,0,1000,,,{'EC NUMBER': ['2.4.1.49']}
,CEPA2,"cellodextrin phosphorylase, cellotriose cleaving",cell3_c + pi_c --> cellb_c + g1p_c,cell3_c + pi_c --> cellb_c + g1p_c,{},CLO1313_RS09440,Clo1313_1867,Cellulose Metabolism,3,,TRUE,"['f6p_c', 'g6p_c', 'g1p_c', 'man6p_c', 'man1p_c', 'g6p_A_c', 'f1p_c', 'tag6p__D_c', 'g6p_B_c', 'f6p_B_c']","['Reaction included based on Sheth and Alexander 1969, Zhang and Lynd 2005']",review gpr. Cellulose metabolism,,0,1000,,,{'EC NUMBER': ['2.4.1.49']}
